key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,deprecated,is_json,is_xml,patch
image/wmf,,,,7903,,,,,,,,
image/x-emf,,,,7903,,,,,True,,,
image/x-wmf,,,,7903,,,,,True,,,
message/cpim,,,,3862,,,,,,,,
message/delivery-status,,,,1894,,,,,,,,
message/disposition-notification,,,,8098,,,,,,,,
message/example,,,,4735,,,,,,,,
message/external-body,,,,2045,,,,,,,,
message/feedback-report,,,,5965,,,,,,,,
message/global,,,,6532,,,,,,,,
message/global-delivery-status,,,,6533,,,,,,,,
message/global-disposition-notification,,,,6533,,,,,,,,
message/global-headers,,,,6533,,,,,,,,
message/http,,,,7230,,,,,,,,
message/imdn+xml,,,,5438,,,,,,,,
message/news,,,,5537,,,,,True,,,
message/partial,,,,2045,,,,,,,,
message/rfc822,,,,2045,,,,,,,,
message/s-http,,,,2660,,,,,,,,
message/sip,,,,3261,,,,,,,,
message/sipfrag,,,,3420,,,,,,,,
message/tracking-status,,,,3886,,,,,,,,
model/3mf,,,,,,,http://www.3mf.io/specification,,,,,
model/example,,,,4735,,,,,,,,
model/mesh,,,,2077,,,,,,,,
model/vrml,,,,2077,,,,,,,,
multipart/alternative,,,,2046,,,,,,,,
multipart/byteranges,,,,7233,,A,,,,,,
multipart/digest,,,,2046,,,,,,,,
multipart/encrypted,,,,1847,,,,,,,,
multipart/example,,,,4735,,,,,,,,
multipart/form-data,,,,7578,,,,,,,,
multipart/mixed,,,,2046,,,,,,,,
multipart/parallel,,,,2046,,,,,,,,
multipart/related,,,,2387,,,,,,,,
multipart/report,,,,6522,,,,,,,,
multipart/signed,,,,1847,,,,,,,,
multipart/voice-message,,,,3801,,,,,,,,
multipart/x-mixed-replace,,,,,,,http://www.w3.org/TR/html/iana.html#multipart/x-mixed-replace,,,,,
text/1d-interleaved-parityfec,,,,6015,,,,,,,,
text/cache-manifest,,,,,,,http://www.w3.org/TR/html/iana.html#text/cache-manifest,,,,,
text/calendar,,,,5545,,,,,,,,
text/css,,,,2318,,,,,,,,
text/csv,,,,4180,,,,,,,,
text/directory,,,,2425,,,,,True,,,
text/dns,,,,4027,,,,,,,,
text/ecmascript,,,,4329,,,,,True,,,
text/encaprtp,,,,6849,,,,,,,,
text/enriched,,,,1896,,,,,,,,
text/event-stream,,,,,,,https://www.w3.org/TR/eventsource/#text-event-stream,Server-Sent Events,,,,False
text/example,,,,4735,,,,,,,,
text/fwdred,,,,6354,,,,,,,,
text/grammar-ref-list,,,,6787,,,,,,,,
text/html,,,,,,,http://www.w3.org/TR/html/iana.html#text/html,,,,,False
text/javascript,,,,4329,,,,,True,,,
text/markdown,,,,7763,,,,,,,,
text/parameters,,,,7826,,,,,,,,
text/parityfec,,,,5109,,,,,,,,
text/plain,,,,2046,,,,,,,,False
text/raptorfec,,,,6682,,,,,,,,
text/red,,,,4102,,,,,,,,
text/rfc822-headers,,,,6522,,,,,,,,
text/richtext,,,,2045,,,,,,,,
text/rtploopback,,,,6849,,,,,,,,
text/rtx,,,,4588,,,,,,,,
text/sgml,,,,1874,,,,,,,,
text/t140,,,,4103,,,,,,,,
text/troff,,,,4263,,,,,,,,
text/ulpfec,,,,5109,,,,,,,,
text/uri-list,,,,2483,,,,,,,,
text/vcard,,,,6350,,,,,,,,
text/xml,,,,7303,,,,,,,True,False
text/xml-external-parsed-entity,,,,7303,,,,,,,,
video/1d-interleaved-parityfec,,,,6015,,,,,,,,
video/3gpp,,,,3839,,,,,,,,
video/3gpp-tt,,,,4396,,,,,,,,
video/3gpp2,,,,4393,,,,,,,,
video/bmpeg,,,,3555,,,,,,,,
video/bt656,,,,3555,,,,,,,,
video/celb,,,,3555,,,,,,,,
video/dv,,,,6469,,,,,,,,
video/encaprtp,,,,6849,,,,,,,,
video/example,,,,4735,,,,,,,,
video/h261,,,,4587,,,,,,,,
video/h263,,,,3555,,,,,,,,
video/h263-1998,,,,4629,,,,,,,,
video/h263-2000,,,,4629,,,,,,,,
video/h264,,,,6184,,,,,,,,
video/h264-rcdo,,,,6185,,,,,,,,
video/h264-svc,,,,6190,,,,,,,,
video/h265,,,,7798,,,,,,,,
video/jpeg,,,,3555,,,,,,,,
video/jpeg2000,,,,5371,,,,,,,,
video/mj2,,,,3745,,,,,,,,
video/mp1s,,,,3555,,,,,,,,
video/mp2p,,,,3555,,,,,,,,
video/mp2t,,,,3555,,,,,,,,
video/mp4,,,,4337,,,,,,,,
video/mp4v-es,,,,6416,,,,,,,,
video/mpeg,,,,2045,,,,,,,,
video/mpeg4-generic,,,,3640,,,,,,,,
video/mpv,,,,3555,,,,,,,,
video/nv,,,,4856,,,,,,,,
video/ogg,,,,5334,,,,,,,,
video/parityfec,,,,5109,,,,,,,,
video/pointer,,,,2862,,,,,,,,
video/quicktime,,,,6381,,,,,,,,
video/raptorfec,,,,6682,,,,,,,,
video/raw,,,,4175,,,,,,,,
video/rtploopback,,,,6849,,,,,,,,
video/rtx,,,,4588,,,,,,,,
video/smpte292m,,,,3497,,,,,,,,
video/ulpfec,,,,5109,,,,,,,,
video/vc1,,,,4425,,,,,,,,
video/vp8,,,,7741,,,,,,,,
